,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,0,0,0,0,0,0,0,0,0,18.09651502322278,20.771010586248543,21.6455176140109,20.89425798477652,18.378975963320705,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,14.982161283493042,15.190640687942505,15.045167207717896,15.115102291107178,14.912437915802002,0,0,0,0,0,0,0,0,0,0,0.50177001953125,,,0
1,1,1,1,1,1,1,1,1,1,27.53651502322278,15.55767725291522,25.992184280677566,20.73425798477652,25.845642629987367,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.1357102394104,15.20021915435791,15.041180849075316,14.977567195892334,14.952510356903076,0,0,0,0,0,0,0,0,0,0,0.3982114791870117,,,0
2,2,2,2,2,2,2,2,2,2,33.28318168988944,27.82434391958189,29.298850947344228,28.60092465144317,29.32564262998737,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.293877601623535,15.313981533050535,15.328061819076538,15.130637645721436,15.273142337799072,0,0,0,0,0,0,0,0,0,0,0.3984758853912353,,,0
3,3,3,3,3,3,3,3,3,3,34.04318168988943,31.22434391958189,30.872184280677573,25.49425798477651,32.64564262998738,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.189434289932253,15.078243017196655,15.356136322021484,15.21092963218689,15.164446830749512,0,0,0,0,0,0,0,0,0,0,0.5017855167388916,,,0
4,4,4,4,4,4,4,4,4,4,34.40318168988943,33.22434391958189,34.1655176140109,34.027591318109835,33.15230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.13750147819519,15.157038450241089,15.301516771316528,15.254178285598757,15.278583765029907,0,0,0,0,0,0,0,0,0,0,0.4047741889953613,,,0
5,5,5,5,5,5,5,5,5,5,37.0698483565561,30.197677252915224,37.83218428067757,39.34759131810984,37.778975963320704,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.228088140487673,15.16698932647705,15.06559681892395,15.24186658859253,15.268269300460815,0,0,0,0,0,0,0,0,0,0,0.3979439735412597,,,0
6,6,6,6,6,6,6,6,6,6,42.56318168988945,42.27767725291523,42.03218428067758,38.6942579847765,42.67230929665403,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.225342988967896,15.2639319896698,15.344151973724363,15.215060472488403,15.59000277519226,0,0,0,0,0,0,0,0,0,0,0.4003217220306396,,,0
7,7,7,7,7,7,7,7,7,7,47.89651502322277,43.01101058624856,39.752184280677575,44.84092465144316,43.79230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.170417308807371,15.216295957565308,15.173444032669067,15.197031497955322,15.298076152801514,0,0,0,0,0,0,0,0,0,0,0.5022704601287842,,,0
8,8,8,8,8,8,8,8,8,8,53.856515023222784,42.45101058624855,46.01885094734422,49.94759131810983,47.79230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205169200897217,15.29154658317566,15.143331050872805,15.23760199546814,15.296299457550049,0,0,0,0,0,0,0,0,0,0,0.5035386085510254,,,0
9,9,9,9,9,9,9,9,9,9,52.72318168988944,54.87767725291522,53.01885094734425,51.88092465144316,49.21897596332071,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205376148223875,15.151497840881348,15.21903109550476,15.181700706481934,15.446735858917236,0,0,0,0,0,0,0,0,0,0,0.4981765747070312,,,0
10,10,10,10,10,10,10,10,10,10,54.98984835655611,53.344343919581895,53.79218428067757,54.52092465144316,56.03230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.341441869735718,15.23053789138794,15.211463689804075,15.26839542388916,15.280240058898926,0,0,0,0,0,0,0,0,0,0,0.5001060962677002,,,0
11,11,11,11,11,11,11,11,11,11,56.17651502322278,55.42434391958189,54.432184280677575,51.92092465144317,56.93897596332071,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.22596526145935,15.345965385437012,15.074764966964722,15.32162308692932,15.323755025863647,0,0,0,0,0,0,0,0,0,0,0.4013428688049316,,,0
12,12,12,12,12,12,12,12,12,12,57.003181689889445,55.94434391958188,55.89885094734422,57.18759131810983,58.6989759633207,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.269171476364136,15.205163478851318,15.10347318649292,15.2330482006073,15.259124517440796,0,0,0,0,0,0,0,0,0,0,0.5040812492370605,,,0
13,13,13,13,13,13,13,13,13,13,59.77651502322278,53.89101058624856,58.33885094734424,45.49425798477649,56.73897596332071,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.287499904632568,15.223161220550535,15.199180841445925,15.02175521850586,15.226972818374634,0,0,0,0,0,0,0,0,0,0,0.4027657508850097,,,0
14,14,14,14,14,14,14,14,14,14,60.62984835655612,53.42434391958189,57.4455176140109,56.02759131810984,57.29897596332071,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.18925642967224,14.96510362625122,14.990746259689333,14.854619979858398,15.32135534286499,0,0,0,0,0,0,0,0,0,0,0.5065979957580566,,,0
15,15,15,15,15,15,15,15,15,15,61.09651502322279,55.89101058624856,58.23218428067757,59.080924651443176,57.392309296654055,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.304921865463257,15.141441583633425,15.167107582092283,15.372236013412476,15.11929178237915,0,0,0,0,0,0,0,0,0,0,0.3733818531036377,,,0
16,16,16,16,16,16,16,16,16,16,60.20318168988944,61.98434391958187,58.872184280677565,57.86759131810983,55.80564262998737,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.076735019683838,15.352816104888916,15.27148413658142,15.157721996307371,15.25657606124878,0,0,0,0,0,0,0,0,0,0,0.3972377777099609,,,0
17,17,17,17,17,17,17,17,17,17,61.68318168988944,55.74434391958189,57.17885094734422,58.24092465144317,60.47230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.266661643981934,15.132030963897703,15.195346593856812,15.214683294296265,15.097579956054688,0,0,0,0,0,0,0,0,0,0,0.3990051746368408,,,0
18,18,18,18,18,18,18,18,18,18,61.89651502322277,59.53101058624855,59.872184280677565,59.814257984776496,58.44564262998739,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.224414587020874,15.254160165786743,15.194978952407835,15.089128017425535,15.12011981010437,0,0,0,0,0,0,0,0,0,0,0.40087890625,,,0
19,19,19,19,19,19,19,19,19,19,60.30984835655611,59.51767725291521,53.685517614010905,59.054257984776505,62.11230929665404,0.12463751797440509,0.0750140032431857,0.0,0.2587186130801338,0.2039455720245114,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.079461097717283,15.243539810180664,15.20258331298828,15.323634147644045,15.15046453475952,0,0,0,0,0,0,0,0,0,0,0.3988015651702881,,,0
20,20,20,20,20,20,20,20,20,20,59.80318168988944,61.30434391958188,52.5255176140109,58.04092465144318,61.73897596332071,50.97023493350288,51.024952855308676,49.64069908120441,48.67259324100929,53.45572915308774,52.43855408789474,53.32569228830096,52.51194283214677,49.57748297641233,53.93392216286154,50.0,0.2171,50.0,15.228557586669922,15.25417423248291,15.27683424949646,15.185059547424316,15.178168296813965,0,0,0,0,0,0,0,0,0,0,0.4038484096527099,,,0
21,21,21,21,21,21,21,21,21,21,58.58984835655611,61.21101058624854,60.71218428067756,58.054257984776505,60.31230929665404,45.303568266836194,50.024952855308676,46.974032414537746,48.00592657434262,46.78906248642108,46.77188742122807,52.32569228830098,49.8452761654801,48.91081630974566,47.26725549619487,50.0,0.2171,50.0,15.27820324897766,15.234867572784424,15.091107845306396,15.269833326339722,15.201828956604004,0,0,0,0,0,0,0,0,0,0,0.399397611618042,,,0
22,22,22,22,22,22,22,22,22,22,62.536515023222776,61.29101058624856,60.77885094734424,54.40092465144317,60.68564262998738,51.63690160016955,53.024952855308676,48.64069908120441,51.33925990767596,51.12239581975443,53.105220754561415,55.32569228830097,51.51194283214677,52.24414964307898,51.60058882952821,50.0,0.2171,50.0,15.175334930419922,15.12662935256958,15.38182806968689,15.455143213272097,15.198251962661743,0,0,0,0,0,0,0,0,0,0,0.2226772308349609,,,0
23,23,23,23,23,23,23,23,23,23,62.803181689889456,60.42434391958189,59.21885094734424,57.62759131810984,61.28564262998737,51.63690160016955,48.35828618864202,48.30736574787107,47.00592657434262,49.45572915308774,53.1052207545614,50.65902562163429,51.17860949881343,47.910816309745655,49.93392216286156,50.0,0.2171,50.0,15.194269895553589,15.131496667861938,15.218900442123411,15.142655611038208,15.15409517288208,0,0,0,0,0,0,0,0,0,0,0.4036219120025635,,,0
24,24,24,24,24,24,24,24,24,24,61.589848356556125,63.037677252915216,60.21885094734424,59.52092465144317,61.84564262998739,50.303568266836194,51.35828618864202,52.30736574787107,49.00592657434262,51.45572915308774,51.77188742122809,53.65902562163431,55.17860949881343,49.91081630974566,51.93392216286156,50.0,0.2171,50.0,15.219491958618164,15.054748773574827,15.010332107543944,15.219685554504396,15.218865871429443,0,0,0,0,0,0,0,0,0,0,0.4002711772918701,,,0
