,client_accuracy_3,client_accuracy_6,client_accuracy_2,client_accuracy_4,client_accuracy_8,client_accuracy_5,client_accuracy_0,client_accuracy_9,client_accuracy_7,client_accuracy_1,client_attack_3,client_attack_6,client_attack_2,client_attack_4,client_attack_8,client_attack_5,client_attack_0,client_attack_9,client_attack_7,client_attack_1,server_attack,server_accuracy
0,97.39999999999999,95.8,96.6,96.8,96.39999999999999,96.6,96.6,97.8,96.8,97.8,65.432,65.98,69.96,70.244,65.36,66.06,67.44,68.632,67.23599999999999,67.2,68.10000000000001,0.848
1,99.4,99.6,99.4,99.0,98.8,99.2,98.8,99.6,99.6,99.6,65.204,66.42,65.02,64.568,64.468,62.87199999999999,66.652,64.704,65.132,67.08800000000001,64.764,0.8515
2,99.8,99.4,99.4,100.0,100.0,99.8,99.4,99.2,99.6,100.0,63.908,65.52799999999999,63.13999999999999,63.468,64.852,62.028000000000006,66.02799999999999,65.168,64.128,65.62,63.32,0.854
3,100.0,99.4,100.0,100.0,99.8,99.8,100.0,100.0,100.0,99.4,64.4,67.044,64.55199999999999,62.944,61.468,61.612,64.056,63.839999999999996,64.408,64.068,63.376,0.8508
4,99.8,100.0,100.0,99.8,100.0,99.6,100.0,100.0,99.6,100.0,64.872,66.984,65.008,64.652,65.52,63.583999999999996,64.924,66.408,65.696,63.576,64.592,0.8515
5,100.0,99.6,100.0,100.0,100.0,100.0,100.0,100.0,99.6,100.0,65.78399999999999,67.012,65.256,62.712,65.904,64.656,66.664,68.376,66.384,65.9,66.3,0.8521
6,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,99.8,99.8,64.82,66.448,65.232,66.032,65.768,65.548,66.552,66.74,65.61200000000001,65.348,66.06,0.8508
7,100.0,100.0,100.0,100.0,100.0,99.6,99.8,100.0,100.0,100.0,65.148,69.57600000000001,66.16,66.472,65.668,65.03999999999999,67.732,66.02,66.908,66.988,67.392,0.8509
8,100.0,100.0,99.8,100.0,100.0,99.8,100.0,99.4,100.0,99.8,67.144,67.308,67.608,68.05600000000001,67.052,65.7,66.656,68.26,67.14,68.356,67.848,0.8506
9,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.4,68.292,67.316,66.984,67.796,67.684,68.36,67.92399999999999,67.828,68.744,68.2,0.8537
10,100.0,99.8,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,67.732,68.12,66.864,68.568,68.204,68.26,67.072,67.46,67.176,68.28,68.108,0.852
11,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,66.78399999999999,68.888,68.996,67.752,69.232,67.728,68.864,68.27600000000001,68.672,66.93599999999999,68.8,0.8508
12,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.196,68.884,66.908,68.096,70.07600000000001,69.388,68.068,69.816,69.08800000000001,68.356,68.04,0.8509
13,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,69.3,69.472,69.916,68.24799999999999,69.472,68.432,67.704,68.216,68.33200000000001,68.84400000000001,69.204,0.851
14,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.392,68.664,67.80000000000001,68.904,68.828,69.328,70.072,67.824,68.472,68.816,68.932,0.8504
15,100.0,99.8,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.472,70.132,69.36,68.432,68.716,68.268,70.684,69.16799999999999,69.672,68.876,69.08,0.8506
16,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.6,68.472,69.768,69.50800000000001,68.06400000000001,70.696,68.91199999999999,69.584,69.808,68.34400000000001,69.66,69.08800000000001,0.8508
17,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,69.384,70.17999999999999,68.368,70.356,69.736,70.208,68.928,69.76400000000001,69.57600000000001,70.14,69.17999999999999,0.8501
18,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,69.868,69.688,69.232,69.736,69.65599999999999,69.44,68.464,69.808,68.864,69.164,69.432,0.8499
19,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,68.864,70.384,68.408,69.77600000000001,69.932,70.48400000000001,69.952,69.96,69.52000000000001,69.89999999999999,68.508,0.8495
20,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,69.38,69.16,68.244,70.304,69.664,71.056,69.856,70.152,70.172,69.336,69.38,0.8485
21,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,67.88,70.128,69.208,69.904,69.976,69.972,69.83200000000001,69.492,69.836,70.104,70.568,0.8496
22,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.804,70.49600000000001,69.908,70.49600000000001,69.27600000000001,69.94399999999999,69.204,69.49600000000001,70.48400000000001,69.66799999999999,70.028,0.8508
23,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,100.0,69.316,69.948,70.268,70.084,71.152,70.1,68.828,70.624,69.94399999999999,69.904,69.91199999999999,0.8508
24,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,70.324,71.036,70.148,70.976,68.676,70.808,70.384,70.652,70.316,70.38,69.788,0.8516
25,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,69.056,70.6,71.052,70.04,70.524,69.628,70.328,70.428,71.092,69.93599999999999,70.636,0.8505
26,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.8,100.0,71.06400000000001,70.836,69.98,70.748,70.65599999999999,70.464,70.268,70.66799999999999,70.724,69.42399999999999,69.796,0.8516
27,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.268,70.352,70.308,70.64,70.296,70.38799999999999,69.42,71.696,70.776,71.112,70.488,0.851
28,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,70.152,71.488,70.416,70.792,71.256,71.056,70.976,70.404,70.964,70.572,70.944,0.8515
29,100.0,100.0,100.0,100.0,100.0,99.8,100.0,100.0,100.0,100.0,70.864,71.63199999999999,70.76400000000001,70.66,70.74000000000001,70.592,71.17599999999999,71.324,69.816,69.416,70.012,0.8511
