,client_accuracy_2,client_accuracy_0,client_accuracy_1,client_accuracy_4,client_accuracy_3,client_attack_2,client_attack_0,client_attack_1,client_attack_4,client_attack_3,client_auc_2,client_auc_0,client_auc_1,client_auc_4,client_auc_3,server_attack,server_accuracy,server_auc,client_round_duration_2,client_round_duration_0,client_round_duration_1,client_round_duration_4,client_round_duration_3,client_transformation_time_0,client_transformation_time_1,client_transformation_time_2,client_transformation_time_3,client_transformation_time_4,client_transformation_time_5,client_transformation_time_6,client_transformation_time_7,client_transformation_time_8,client_transformation_time_9,server_aggregation_duration,server_model_parameters_memory_usage,server_data_parameters_memory_usage,server_transformation_time
0,25.44,30.05333333333333,31.319999999999997,30.78666666666667,27.73333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3358,0.0,14.982161283493042,15.190640687942505,15.045167207717896,15.115102291107178,14.912437915802002,0,0,0,0,0,0,0,0,0,0,0.50177001953125,,,0
1,34.88,24.84,35.66666666666667,30.62666666666667,35.199999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.1357102394104,15.20021915435791,15.041180849075317,14.977567195892334,14.952510356903076,0,0,0,0,0,0,0,0,0,0,0.3982114791870117,,,0
2,40.626666666666665,37.10666666666667,38.97333333333333,38.49333333333333,38.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.293877601623535,15.313981533050537,15.328061819076538,15.130637645721436,15.273142337799072,0,0,0,0,0,0,0,0,0,0,0.39847588539123535,,,0
3,41.38666666666666,40.50666666666667,40.54666666666667,35.38666666666666,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.189434289932251,15.078243017196655,15.356136322021484,15.21092963218689,15.164446830749512,0,0,0,0,0,0,0,0,0,0,0.5017855167388916,,,0
4,41.74666666666666,42.50666666666667,43.84,43.919999999999995,42.50666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.13750147819519,15.157038450241089,15.301516771316528,15.254178285598755,15.278583765029907,0,0,0,0,0,0,0,0,0,0,0.40477418899536133,,,0
5,44.413333333333334,39.48,47.50666666666667,49.24,47.13333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3357,0.0,15.228088140487671,15.16698932647705,15.06559681892395,15.24186658859253,15.268269300460815,0,0,0,0,0,0,0,0,0,0,0.39794397354125977,,,0
6,49.906666666666666,51.559999999999995,51.70666666666667,48.586666666666666,52.026666666666664,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.225342988967896,15.2639319896698,15.344151973724365,15.215060472488403,15.59000277519226,0,0,0,0,0,0,0,0,0,0,0.40032172203063965,,,0
7,55.24,52.29333333333334,49.42666666666667,54.733333333333334,53.14666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.170417308807373,15.216295957565308,15.173444032669067,15.197031497955322,15.298076152801514,0,0,0,0,0,0,0,0,0,0,0.5022704601287842,,,0
8,61.199999999999996,51.733333333333334,55.69333333333333,59.84,57.14666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205169200897217,15.29154658317566,15.143331050872803,15.23760199546814,15.296299457550049,0,0,0,0,0,0,0,0,0,0,0.5035386085510254,,,0
9,60.06666666666667,64.16,62.693333333333335,61.77333333333333,58.57333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.205376148223877,15.151497840881348,15.21903109550476,15.181700706481934,15.446735858917236,0,0,0,0,0,0,0,0,0,0,0.49817657470703125,,,0
10,62.33333333333333,62.626666666666665,63.46666666666667,64.41333333333333,65.38666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.341441869735718,15.23053789138794,15.211463689804077,15.26839542388916,15.280240058898926,0,0,0,0,0,0,0,0,0,0,0.5001060962677002,,,0
11,63.519999999999996,64.70666666666666,64.10666666666667,61.81333333333333,66.29333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.22596526145935,15.345965385437012,15.074764966964722,15.321623086929321,15.323755025863647,0,0,0,0,0,0,0,0,0,0,0.40134286880493164,,,0
12,64.34666666666666,65.22666666666666,65.57333333333332,67.08,68.05333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.269171476364136,15.205163478851318,15.10347318649292,15.2330482006073,15.259124517440796,0,0,0,0,0,0,0,0,0,0,0.5040812492370605,,,0
13,67.12,63.17333333333334,68.01333333333334,55.38666666666666,66.09333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.287499904632568,15.223161220550537,15.199180841445923,15.02175521850586,15.226972818374634,0,0,0,0,0,0,0,0,0,0,0.40276575088500977,,,0
14,67.97333333333333,62.70666666666666,67.12,65.92,66.65333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.189256429672241,14.96510362625122,14.990746259689331,14.854619979858398,15.32135534286499,0,0,0,0,0,0,0,0,0,0,0.5065979957580566,,,0
15,68.44,65.17333333333333,67.90666666666667,68.97333333333333,66.74666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.304921865463257,15.141441583633423,15.167107582092285,15.372236013412476,15.11929178237915,0,0,0,0,0,0,0,0,0,0,0.3733818531036377,,,0
16,67.54666666666667,71.26666666666667,68.54666666666667,67.75999999999999,65.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.076735019683838,15.352816104888916,15.271484136581421,15.157721996307373,15.25657606124878,0,0,0,0,0,0,0,0,0,0,0.39723777770996094,,,0
17,69.02666666666667,65.02666666666667,66.85333333333332,68.13333333333334,69.82666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.266661643981934,15.132030963897705,15.195346593856812,15.214683294296265,15.097579956054688,0,0,0,0,0,0,0,0,0,0,0.3990051746368408,,,0
18,69.24,68.81333333333333,69.54666666666667,69.70666666666666,67.80000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.224414587020874,15.254160165786743,15.194978952407837,15.089128017425537,15.12011981010437,0,0,0,0,0,0,0,0,0,0,0.40087890625,,,0
19,67.65333333333334,68.8,63.36000000000001,68.94666666666667,71.46666666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2171,0.0,15.079461097717285,15.243539810180664,15.202583312988281,15.323634147644043,15.150464534759521,0,0,0,0,0,0,0,0,0,0,0.3988015651702881,,,0
20,67.14666666666666,70.58666666666666,62.2,67.93333333333334,71.09333333333333,51.0,51.33333333333333,51.0,48.0,52.33333333333333,51.0,51.33333333333333,51.0,48.0,52.33333333333333,50.0,0.2171,50.0,15.228557586669922,15.25417423248291,15.27683424949646,15.185059547424316,15.178168296813965,0,0,0,0,0,0,0,0,0,0,0.40384840965270996,,,0
21,65.93333333333334,70.49333333333333,70.38666666666667,67.94666666666667,69.66666666666667,45.33333333333333,50.33333333333333,48.333333333333336,47.333333333333336,45.666666666666664,45.33333333333333,50.33333333333334,48.33333333333333,47.333333333333336,45.666666666666664,50.0,0.2171,50.0,15.278203248977661,15.234867572784424,15.091107845306396,15.269833326339722,15.201828956604004,0,0,0,0,0,0,0,0,0,0,0.399397611618042,,,0
22,69.88,70.57333333333334,70.45333333333333,64.29333333333334,70.04,51.66666666666667,53.333333333333336,50.0,50.66666666666667,50.0,51.66666666666667,53.333333333333336,50.0,50.66666666666666,50.0,50.0,0.2171,50.0,15.175334930419922,15.12662935256958,15.38182806968689,15.455143213272095,15.198251962661743,0,0,0,0,0,0,0,0,0,0,0.22267723083496094,,,0
23,70.14666666666668,69.70666666666666,68.89333333333333,67.52,70.64,51.66666666666667,48.66666666666667,49.666666666666664,46.33333333333333,48.333333333333336,51.66666666666666,48.666666666666664,49.666666666666664,46.33333333333333,48.33333333333334,50.0,0.2171,50.0,15.194269895553589,15.131496667861938,15.218900442123413,15.142655611038208,15.15409517288208,0,0,0,0,0,0,0,0,0,0,0.4036219120025635,,,0
24,68.93333333333334,72.32,69.89333333333333,69.41333333333334,71.2,50.33333333333333,51.66666666666667,53.666666666666664,48.333333333333336,50.33333333333333,50.33333333333334,51.66666666666667,53.666666666666664,48.333333333333336,50.33333333333334,50.0,0.2171,50.0,15.219491958618164,15.054748773574829,15.010332107543945,15.219685554504395,15.218865871429443,0,0,0,0,0,0,0,0,0,0,0.4002711772918701,,,0
