,Unnamed: 0.6,Unnamed: 0.5,Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,client_accuracy_0,client_accuracy_1,client_attack_0,client_attack_1,server_attack,server_accuracy,server_auc,client_aauc_0,client_auc_0
0,0,0,0,0,0,0,0,48.4,52.080000000000005,0.0,0,0.0,0.1732,0.0,0.0,0.0
1,1,1,1,1,1,1,1,49.92,49.44,0.0,0,0.0,0.5608,0.0,0.0,0.0
2,2,2,2,2,2,2,2,57.99999999999999,54.64,0.0,0,0.0,0.6103,0.0,0.0,0.0
3,3,3,3,3,3,3,3,63.6,64.32,0.0,0,0.0,0.6752,0.0,0.0,0.0
4,4,4,4,4,4,4,4,65.03999999999999,66.56,0.0,0,0.0,0.6873,0.0,0.0,0.0
5,5,5,5,5,5,5,5,60.8,68.08,0.0,0,0.0,0.7095,0.0,0.0,0.0
6,6,6,6,6,6,6,6,68.56,63.75999999999999,0.0,0,0.0,0.7253,0.0,0.0,0.0
7,7,7,7,7,7,7,7,73.11999999999999,69.76,0.0,0,0.0,0.7507,0.0,0.0,0.0
8,8,8,8,8,8,8,8,66.08000000000001,69.19999999999999,0.0,0,0.0,0.7508,0.0,0.0,0.0
9,9,9,9,9,9,9,9,71.44,74.96000000000001,0.0,0,0.0,0.7567,0.0,0.0,0.0
10,10,10,10,10,10,10,10,73.92,72.96000000000001,0.0,0,0.0,0.7802,0.0,0.0,0.0
11,11,11,11,11,11,11,11,72.08,68.96,0.0,0,0.0,0.7634,0.0,0.0,0.0
12,12,12,12,12,12,12,12,72.88,64.08,0.0,0,0.0,0.7542,0.0,0.0,0.0
13,13,13,13,13,13,13,13,74.16,72.8,0.0,0,0.0,0.7699,0.0,0.0,0.0
14,14,14,14,14,14,14,14,72.64,68.8,0.0,0,0.0,0.7696,0.0,0.0,0.0
15,15,15,15,15,15,15,15,69.76,70.64,0.0,0,0.0,0.7485,0.0,0.0,0.0
16,16,16,16,16,16,16,16,75.92,71.44,0.0,0,0.0,0.7748,0.0,0.0,0.0
17,17,17,17,17,17,17,17,64.4,74.64,0.0,0,0.0,0.7602,0.0,0.0,0.0
18,18,18,18,18,18,18,18,74.96000000000001,72.39999999999999,0.0,0,0.0,0.7869,0.0,0.0,0.0
19,19,19,19,19,19,19,19,73.04,74.08,0.0,0,0.0,0.7636,0.0,0.0,0.0
20,20,20,20,20,20,20,20,75.12,73.2,0.0,0,0.0,0.7797,0.0,0.0,0.0
21,21,21,21,21,21,21,21,74.64,71.52,0.0,0,0.0,0.7857,0.0,0.0,0.0
22,22,22,22,22,22,22,22,71.52,73.76,0.0,0,0.0,0.7706,0.0,0.0,0.0
23,23,23,23,23,23,23,23,75.52,74.32,0.0,0,0.0,0.782,0.0,0.0,0.0
24,24,24,24,24,24,24,24,71.92,71.92,0.0,0,0.0,0.7682,0.0,0.0,0.0
25,25,25,25,25,25,25,25,74.96000000000001,74.24,0.0,0,0.0,0.7753,0.0,0.0,0.0
26,26,26,26,26,26,26,26,76.24,69.84,0.0,0,0.0,0.7675,0.0,0.0,0.0
27,27,27,27,27,27,27,27,75.84,70.96000000000001,0.0,0,0.0,0.7781,0.0,0.0,0.0
28,28,28,28,28,28,28,28,72.72,68.24,0.0,0,0.0,0.7744,0.0,0.0,0.0
29,29,29,29,29,29,29,29,76.8,74.8,0.0,0,0.0,0.7768,0.0,0.0,0.0
30,30,30,30,30,30,30,30,74.0,72.8,0.0,0,0.0,0.7859,0.0,0.0,0.0
31,31,31,31,31,31,31,31,74.48,73.68,0.0,0,0.0,0.7706,0.0,0.0,0.0
32,32,32,32,32,32,32,32,76.88000000000001,74.16,0.0,0,0.0,0.791,0.0,0.0,0.0
33,33,33,33,33,33,33,33,74.8,73.11999999999999,0.0,0,0.0,0.7811,0.0,0.0,0.0
34,34,34,34,34,34,34,34,74.48,72.64,0.0,0,0.0,0.7819,0.0,0.0,0.0
35,35,35,35,35,35,35,35,76.08,74.08,0.0,0,0.0,0.7791,0.0,0.0,0.0
36,36,36,36,36,36,36,36,78.72,74.16,0.0,0,0.0,0.7895,0.0,0.0,0.0
37,37,37,37,37,37,37,37,75.2,75.2,0.0,0,0.0,0.7868,0.0,0.0,0.0
38,38,38,38,38,38,38,38,75.12,72.96000000000001,0.0,0,0.0,0.7699,0.0,0.0,0.0
39,39,39,39,39,39,39,39,76.88000000000001,70.56,0.0,0,0.0,0.7703,0.0,0.0,0.0
40,40,40,40,40,40,40,40,74.8,72.32,0.0,0,0.0,0.7766,0.0,0.0,0.0
41,41,41,41,41,41,41,41,76.08,71.67999999999999,0.0,0,0.0,0.7736,0.0,0.0,0.0
42,42,42,42,42,42,42,42,76.08,74.56,0.0,0,0.0,0.7902,0.0,0.0,0.0
43,43,43,43,43,43,43,43,75.68,75.6,0.0,0,0.0,0.7904,0.0,0.0,0.0
44,44,44,44,44,44,44,44,76.0,73.11999999999999,0.0,0,0.0,0.7718,0.0,0.0,0.0
45,45,45,45,45,45,45,45,76.16000000000001,74.32,0.0,0,0.0,0.7819,0.0,0.0,0.0
46,46,46,46,46,46,46,46,74.72,75.12,0.0,0,0.0,0.7839,0.0,0.0,0.0
47,47,47,47,47,47,47,47,76.32,74.88,0.0,0,0.0,0.7674,0.0,0.0,0.0
48,48,48,48,48,48,48,48,75.92,75.84,0.0,0,0.0,0.7803,0.0,0.0,0.0
49,49,49,49,49,49,49,49,76.96,73.68,0.0,0,0.0,0.7888,0.0,0.0,0.0
50,50,50,50,50,50,50,50,75.2,74.16,0.0,0,0.0,0.7812,0.0,0.0,0.0
51,51,51,51,51,51,51,51,74.08,72.0,0.0,0,0.0,0.7789,0.0,0.0,0.0
52,52,52,52,52,52,52,52,75.52,75.52,0.0,0,0.0,0.7805,0.0,0.0,0.0
53,53,53,53,53,53,53,53,76.72,74.48,0.0,0,0.0,0.7795,0.0,0.0,0.0
54,54,54,54,54,54,54,54,74.0,69.84,0.0,0,0.0,0.7561,0.0,0.0,0.0
55,55,55,55,55,55,55,55,75.84,75.6,0.0,0,0.0,0.7838,0.0,0.0,0.0
56,56,56,56,56,56,56,56,76.16000000000001,74.08,0.0,0,0.0,0.7816,0.0,0.0,0.0
57,57,57,57,57,57,57,57,74.88,74.16,0.0,0,0.0,0.7804,0.0,0.0,0.0
58,58,58,58,58,58,58,58,75.2,75.92,0.0,0,0.0,0.7815,0.0,0.0,0.0
59,59,59,59,59,59,59,59,77.75999999999999,75.68,0.0,0,0.0,0.7889,0.0,0.0,0.0
60,60,60,60,60,60,60,60,76.88000000000001,73.2,68.29,0,67.68,0.7771,66.16,69.68,69.68
61,61,61,61,61,61,61,61,76.96,75.52,68.29,0,67.68,0.7854,66.16,69.68,69.68
62,62,62,62,62,62,62,62,73.92,74.16,68.29,0,67.68,0.7756,66.16,69.68,69.68
63,63,63,63,63,63,63,63,77.28,75.44,68.29,0,67.68,0.7914,66.16,69.68,69.68
64,64,64,64,64,64,64,64,72.72,74.56,68.29,0,67.68,0.775,66.16,69.68,69.68
65,65,65,65,65,65,65,65,76.88000000000001,71.28,68.29,0,67.68,0.7756,66.16,69.68,69.68
66,66,66,66,66,66,66,66,72.32,77.44,68.29,0,67.68,0.771,66.16,69.68,69.68
67,67,67,67,67,67,67,67,75.68,75.6,68.29,0,67.68,0.7741,66.16,69.68,69.68
68,68,68,68,68,68,68,68,74.08,74.32,68.29,0,67.68,0.7775,66.16,69.68,69.68
69,69,69,69,69,69,69,69,74.72,73.92,68.29,0,67.68,0.7733,66.16,69.68,69.68
70,70,70,70,70,70,70,70,75.68,73.36,68.29,0,67.68,0.7597,66.16,69.68,69.68
71,71,71,71,71,71,71,71,76.32,73.2,68.29,0,67.68,0.7779,66.16,69.68,69.68
72,72,72,72,72,72,72,72,76.88000000000001,75.12,68.29,0,67.68,0.7811,66.16,69.68,69.68
73,73,73,73,73,73,73,73,75.92,75.52,68.29,0,67.68,0.7755,66.16,69.68,69.68
74,74,74,74,74,74,74,74,75.52,74.56,68.29,0,67.68,0.7797,66.16,69.68,69.68
75,75,75,75,75,75,75,75,77.68,71.36,68.29,0,67.68,0.7796,66.16,69.68,69.68
76,76,76,76,76,76,76,76,76.64,76.0,68.29,0,67.68,0.7855,66.16,69.68,69.68
77,77,77,77,77,77,77,77,73.52,71.92,68.29,0,67.68,0.7784,66.16,69.68,69.68
78,78,78,78,78,78,78,78,78.4,74.0,68.29,0,67.68,0.7788,66.16,69.68,69.68
79,79,79,79,79,79,79,79,75.84,75.6,68.29,0,67.68,0.7835,66.16,69.68,69.68
80,80,80,80,80,80,80,80,72.8,73.76,68.29,0,67.68,0.7796,66.16,69.68,69.68
81,81,81,81,81,81,81,81,76.08,74.32,68.29,0,67.68,0.7827,66.16,69.68,69.68
82,82,82,82,82,82,82,82,74.32,75.92,68.29,0,67.68,0.7789,66.16,69.68,69.68
83,83,83,83,83,83,83,83,74.4,74.88,68.29,0,67.68,0.7793,66.16,69.68,69.68
84,84,84,84,84,84,84,84,76.8,75.03999999999999,68.29,0,67.68,0.7722,66.16,69.68,69.68
85,85,85,85,85,85,85,85,75.03999999999999,72.8,68.29,0,67.68,0.7719,66.16,69.68,69.68
86,86,86,86,86,86,86,86,76.55999999999999,75.76,68.29,0,67.68,0.7876,66.16,69.68,69.68
87,87,87,87,87,87,87,87,76.32,75.6,68.29,0,67.68,0.7836,66.16,69.68,69.68
88,88,88,88,88,88,88,88,78.0,74.88,68.29,0,67.68,0.7808,66.16,69.68,69.68
89,89,89,89,89,89,89,89,76.64,75.44,68.29,0,67.68,0.7776,66.16,69.68,69.68
90,90,90,90,90,90,90,90,74.0,73.6,68.29,0,67.68,0.7742,66.16,69.68,69.68
91,91,91,91,91,91,91,91,75.6,73.2,68.29,0,67.68,0.7757,66.16,69.68,69.68
92,92,92,92,92,92,92,92,75.44,73.92,68.29,0,67.68,0.776,66.16,69.68,69.68
93,93,93,93,93,93,93,93,73.76,73.68,68.29,0,67.68,0.7724,66.16,69.68,69.68
94,94,94,94,94,94,94,94,74.08,72.88,68.29,0,67.68,0.7702,66.16,69.68,69.68
95,95,95,95,95,95,95,95,75.6,76.08,68.29,0,67.68,0.7886,66.16,69.68,69.68
96,96,96,96,96,96,96,96,74.72,73.52,68.29,0,67.68,0.7739,66.16,69.68,69.68
97,97,97,97,97,97,97,97,75.6,75.84,68.29,0,67.68,0.7785,66.16,69.68,69.68
98,98,98,98,98,98,98,98,74.64,73.6,68.29,0,67.68,0.771,66.16,69.68,69.68
99,99,99,99,99,99,99,99,74.96000000000001,74.88,68.29,0,67.68,0.7784,66.16,69.68,69.68
